,geoFIPS,NAME
0,g01029,Cleburne
1,g01031,Coffee
2,g01037,Coosa
3,g01039,Covington
4,g01041,Crenshaw
5,g01045,Dale
6,g01049,DeKalb
7,g01053,Escambia
8,g01057,Fayette
9,g01061,Geneva
10,g01067,Henry
11,g01075,Lamar
12,g01077,Lauderdale
13,g01079,Lawrence
14,g01001,Autauga
15,g01003,Baldwin
16,g01005,Barbour
17,g01007,Bibb
18,g01009,Blount
19,g01011,Bullock
20,g01023,Choctaw
21,g01025,Clarke
22,g01027,Clay
23,g01033,Colbert
24,g01035,Conecuh
25,g01043,Cullman
26,g01047,Dallas
27,g01051,Elmore
28,g01055,Etowah
29,g01059,Franklin
30,g01063,Greene
31,g01065,Hale
32,g01071,Jackson
33,g01073,Jefferson
34,g01085,Lowndes
35,g01087,Macon
36,g01089,Madison
37,g01091,Marengo
38,g01095,Marshall
39,g01097,Mobile
40,g01099,Monroe
41,g01107,Pickens
42,g01109,Pike
43,g01113,Russell
44,g01115,St. Clair
45,g01117,Shelby
46,g01119,Sumter
47,g01121,Talladega
48,g01129,Washington
49,g01131,Wilcox
50,g01013,Butler
51,g01015,Calhoun
52,g01017,Chambers
53,g01019,Cherokee
54,g01021,Chilton
55,g01123,Tallapoosa
56,g01125,Tuscaloosa
57,g01127,Walker
58,g01133,Winston
59,g01101,Montgomery
60,g01069,Houston
61,g01081,Lee
62,g01083,Limestone
63,g01093,Marion
64,g01103,Morgan
65,g01105,Perry
66,g01111,Randolph
67,g02013,Aleutians East
68,g02016,Aleutians West
69,g02020,Anchorage
70,g02050,Bethel
71,g02060,Bristol Bay
72,g02068,Denali
73,g02070,Dillingham
74,g02090,Fairbanks North Star
75,g02105,Hoonah-Angoon
76,g02110,Juneau
77,g02122,Kenai Peninsula
78,g02130,Ketchikan Gateway
79,g02164,Lake and Peninsula
80,g02170,Matanuska-Susitna
81,g02180,Nome
82,g02185,North Slope
83,g02188,Northwest Arctic
84,g02220,Sitka
85,g02240,Southeast Fairbanks
86,g02270,Wade Hampton
87,g02275,Wrangell
88,g02290,Yukon-Koyukuk
89,g02195,Petersburg
90,g02198,Prince of Wales-Hyder
91,g02230,Skagway
92,g02261,Valdez-Cordova
93,g02282,Yakutat
94,g02100,Haines
95,g02150,Kodiak Island
96,g04001,Apache
97,g04003,Cochise
98,g04005,Coconino
99,g04007,Gila
100,g04009,Graham
101,g04011,Greenlee
102,g04012,La Paz
103,g04013,Maricopa
104,g04015,Mohave
105,g04017,Navajo
106,g04019,Pima
107,g04021,Pinal
108,g04023,Santa Cruz
109,g04025,Yavapai
110,g04027,Yuma
111,g05049,Fulton
112,g05051,Garland
113,g05053,Grant
114,g05055,Greene
115,g05059,Hot Spring
116,g05065,Izard
117,g05071,Johnson
118,g05075,Lawrence
119,g05077,Lee
120,g05001,Arkansas
121,g05003,Ashley
122,g05005,Baxter
123,g05007,Benton
124,g05011,Bradley
125,g05013,Calhoun
126,g05017,Chicot
127,g05019,Clark
128,g05021,Clay
129,g05029,Conway
130,g05037,Cross
131,g05039,Dallas
132,g05041,Desha
133,g05045,Faulkner
134,g05057,Hempstead
135,g05061,Howard
136,g05063,Independence
137,g05067,Jackson
138,g05069,Jefferson
139,g05073,Lafayette
140,g05081,Little River
141,g05085,Lonoke
142,g05091,Miller
143,g05093,Mississippi
144,g05095,Monroe
145,g05097,Montgomery
146,g05099,Nevada
147,g05103,Ouachita
148,g05107,Phillips
149,g05109,Pike
150,g05117,Prairie
151,g05121,Randolph
152,g05131,Sebastian
153,g05133,Sevier
154,g05139,Union
155,g05145,White
156,g05147,Woodruff
157,g05009,Boone
158,g05015,Carroll
159,g05023,Cleburne
160,g05025,Cleveland
161,g05027,Columbia
162,g05031,Craighead
163,g05033,Crawford
164,g05035,Crittenden
165,g05043,Drew
166,g05047,Franklin
167,g05143,Washington
168,g05149,Yell
169,g05079,Lincoln
170,g05083,Logan
171,g05087,Madison
172,g05089,Marion
173,g05101,Newton
174,g05105,Perry
175,g05111,Poinsett
176,g05113,Polk
177,g05115,Pope
178,g05119,Pulaski
179,g05123,St. Francis
180,g05125,Saline
181,g05127,Scott
182,g05129,Searcy
183,g05135,Sharp
184,g05137,Stone
185,g05141,Van Buren
186,g06035,Lassen
187,g06049,Modoc
188,g06075,San Francisco
189,g06083,Santa Barbara
190,g06091,Sierra
191,g06095,Solano
192,g06101,Sutter
193,g06105,Trinity
194,g06111,Ventura
195,g06115,Yuba
196,g06033,Lake
197,g06071,San Bernardino
198,g06087,Santa Cruz
199,g06001,Alameda
200,g06003,Alpine
201,g06005,Amador
202,g06007,Butte
203,g06009,Calaveras
204,g06011,Colusa
205,g06013,Contra Costa
206,g06015,Del Norte
207,g06017,El Dorado
208,g06019,Fresno
209,g06021,Glenn
210,g06023,Humboldt
211,g06025,Imperial
212,g06027,Inyo
213,g06029,Kern
214,g06031,Kings
215,g06037,Los Angeles
216,g06039,Madera
217,g06041,Marin
218,g06043,Mariposa
219,g06045,Mendocino
220,g06047,Merced
221,g06051,Mono
222,g06053,Monterey
223,g06055,Napa
224,g06057,Nevada
225,g06059,Orange
226,g06061,Placer
227,g06063,Plumas
228,g06065,Riverside
229,g06067,Sacramento
230,g06069,San Benito
231,g06073,San Diego
232,g06077,San Joaquin
233,g06079,San Luis Obispo
234,g06081,San Mateo
235,g06085,Santa Clara
236,g06089,Shasta
237,g06093,Siskiyou
238,g06097,Sonoma
239,g06099,Stanislaus
240,g06103,Tehama
241,g06107,Tulare
242,g06109,Tuolumne
243,g06113,Yolo
244,g08053,Hinsdale
245,g08061,Kiowa
246,g08063,Kit Carson
247,g08071,Las Animas
248,g08073,Lincoln
249,g08075,Logan
250,g08079,Mineral
251,g08085,Montrose
252,g08087,Morgan
253,g08089,Otero
254,g08095,Phillips
255,g08099,Prowers
256,g08101,Pueblo
257,g08103,Rio Blanco
258,g08105,Rio Grande
259,g08001,Adams
260,g08003,Alamosa
261,g08005,Arapahoe
262,g08007,Archuleta
263,g08009,Baca
264,g08011,Bent
265,g08013,Boulder
266,g08015,Chaffee
267,g08019,Clear Creek
268,g08023,Costilla
269,g08027,Custer
270,g08029,Delta
271,g08031,Denver
272,g08035,Douglas
273,g08037,Eagle
274,g08049,Grand
275,g08051,Gunnison
276,g08055,Huerfano
277,g08057,Jackson
278,g08059,Jefferson
279,g08065,Lake
280,g08067,La Plata
281,g08069,Larimer
282,g08077,Mesa
283,g08081,Moffat
284,g08083,Montezuma
285,g08091,Ouray
286,g08093,Park
287,g08097,Pitkin
288,g08107,Routt
289,g08109,Saguache
290,g08111,San Juan
291,g08113,San Miguel
292,g08117,Summit
293,g08014,Broomfield
294,g08017,Cheyenne
295,g08021,Conejos
296,g08025,Crowley
297,g08033,Dolores
298,g08039,Elbert
299,g08041,El Paso
300,g08043,Fremont
301,g08045,Garfield
302,g08047,Gilpin
303,g08115,Sedgwick
304,g08119,Teller
305,g08121,Washington
306,g08123,Weld
307,g08125,Yuma
308,g09001,Fairfield
309,g09003,Hartford
310,g09005,Litchfield
311,g09007,Middlesex
312,g09009,New Haven
313,g09011,New London
314,g09013,Tolland
315,g09015,Windham
316,g10001,Kent
317,g10003,New Castle
318,g10005,Sussex
319,g11001,District of Columbia
320,g12013,Calhoun
321,g12015,Charlotte
322,g12019,Clay
323,g12021,Collier
