"","Area.Name.Legal.Statistical.Area.Description","Qualifying.Name","Area..Land.","Area..Water.","Summary.Level","Geographic.Component","Region","Division","FIPS","State..FIPS.","County","Area.Total","Area.Total..Area..Land.","Area.Total..Area..Water."
"1","Geo_NAME","Geo_QName","Geo_AREALAND","Geo_AREAWATR","Geo_SUMLEV","Geo_GEOCOMP","Geo_REGION","Geo_DIVISION","Geo_FIPS","Geo_STATE","Geo_COUNTY","SE_T02A_001","SE_T02A_002","SE_T02A_003"
"2","Autauga County","Autauga County, Alabama","1539582278","25775735","050","00","3","6","01001","01","001","604.3882","594.4361","9.952067"
"3","Baldwin County","Baldwin County, Alabama","4117521611","1133190229","050","00","3","6","01003","01","003","2027.311","1589.784","437.5272"
"4","Barbour County","Barbour County, Alabama","2291818968","50864716","050","00","3","6","01005","01","005","904.5153","884.8763","19.63898"
"5","Bibb County","Bibb County, Alabama","1612480789","9289057","050","00","3","6","01007","01","007","626.1689","622.5823","3.586525"
"6","Blount County","Blount County, Alabama","1669961855","15157440","050","00","3","6","01009","01","009","650.6282","644.7759","5.852321"
"7","Bullock County","Bullock County, Alabama","1613056905","6056528","050","00","3","6","01011","01","011","625.1432","622.8047","2.338439"
"8","Butler County","Butler County, Alabama","2011976894","2726814","050","00","3","6","01013","01","013","777.8815","776.8286","1.052829"
"9","Calhoun County","Calhoun County, Alabama","1569189995","16624267","050","00","3","6","01015","01","015","612.2863","605.8677","6.418665"
"10","Chambers County","Chambers County, Alabama","1545009282","17048142","050","00","3","6","01017","01","017","603.1138","596.5314","6.582325"
"11","Cherokee County","Cherokee County, Alabama","1434075952","119858898","050","00","3","6","01019","01","019","599.9776","553.6998","46.27778"
"12","Chilton County","Chilton County, Alabama","1794483586","20586383","050","00","3","6","01021","01","021","700.8025","692.854","7.948448"
"13","Choctaw County","Choctaw County, Alabama","2365954748","19059251","050","00","3","6","01023","01","023","920.8591","913.5003","7.358819"
"14","Clarke County","Clarke County, Alabama","3207609488","36542656","050","00","3","6","01025","01","025","1252.574","1238.465","14.1092"
"15","Clay County","Clay County, Alabama","1564252280","5284628","050","00","3","6","01027","01","027","606.0016","603.9612","2.040406"
"16","Cleburne County","Cleburne County, Alabama","1450652767","2365681","050","00","3","6","01029","01","029","561.0136","560.1002","0.9133946"
"17","Coffee County","Coffee County, Alabama","1758528786","3944730","050","00","3","6","01031","01","031","680.4949","678.9718","1.523069"
"18","Colbert County","Colbert County, Alabama","1534877333","76430813","050","00","3","6","01033","01","033","622.1296","592.6194","29.51011"
"19","Conecuh County","Conecuh County, Alabama","2201894769","6644940","050","00","3","6","01035","01","035","852.7219","850.1563","2.565626"
"20","Coosa County","Coosa County, Alabama","1685891075","39946646","050","00","3","6","01037","01","037","666.3497","650.9262","15.42349"
"21","Covington County","Covington County, Alabama","2668869505","34526309","050","00","3","6","01039","01","039","1043.787","1030.456","13.33068"
"22","Crenshaw County","Crenshaw County, Alabama","1576888006","5376392","050","00","3","6","01041","01","041","610.9158","608.8399","2.075837"
"23","Cullman County","Cullman County, Alabama","1903228333","52266921","050","00","3","6","01043","01","043","755.0209","734.8406","20.18037"
"24","Dale County","Dale County, Alabama","1453371157","4016457","050","00","3","6","01045","01","045","562.7005","561.1498","1.550763"
"25","Dallas County","Dallas County, Alabama","2534807386","39134826","050","00","3","6","01047","01","047","993.8046","978.6946","15.11004"
"26","DeKalb County","DeKalb County, Alabama","2012662359","4123588","050","00","3","6","01049","01","049","778.6855","777.0933","1.592126"
"27","Elmore County","Elmore County, Alabama","1601867593","99862541","050","00","3","6","01051","01","051","657.0417","618.4846","38.55714"
"28","Escambia County","Escambia County, Alabama","2447746932","20873208","050","00","3","6","01053","01","053","953.1396","945.0804","8.059191"
"29","Etowah County","Etowah County, Alabama","1385618994","35322991","050","00","3","6","01055","01","055","548.6288","534.9905","13.63828"
"30","Fayette County","Fayette County, Alabama","1625631609","4392821","050","00","3","6","01057","01","057","629.356","627.6599","1.696078"
"31","Franklin County","Franklin County, Alabama","1641587713","32897905","050","00","3","6","01059","01","059","646.5225","633.8206","12.70195"
"32","Geneva County","Geneva County, Alabama","1487710425","11765293","050","00","3","6","01061","01","061","578.9509","574.4083","4.542605"
"33","Greene County","Greene County, Alabama","1676007032","33231212","050","00","3","6","01063","01","063","659.9406","647.11","12.83064"
"34","Hale County","Hale County, Alabama","1667803914","32525967","050","00","3","6","01065","01","065","656.501","643.9427","12.55835"
"35","Henry County","Henry County, Alabama","1454926258","16986789","050","00","3","6","01067","01","067","568.3088","561.7502","6.558636"
"36","Houston County","Houston County, Alabama","1501737720","4739984","050","00","3","6","01069","01","069","581.6543","579.8242","1.830118"
"37","Jackson County","Jackson County, Alabama","2791664869","126657194","050","00","3","6","01071","01","071","1126.771","1077.868","48.90262"
"38","Jefferson County","Jefferson County, Alabama","2878192209","32474487","050","00","3","6","01073","01","073","1123.815","1111.276","12.53847"
"39","Lamar County","Lamar County, Alabama","1566544654","1600679","050","00","3","6","01075","01","075","605.4643","604.8463","0.6180257"
"40","Lauderdale County","Lauderdale County, Alabama","1729327931","138027479","050","00","3","6","01077","01","077","720.99","667.6973","53.29271"
"41","Lawrence County","Lawrence County, Alabama","1788846568","68688464","050","00","3","6","01079","01","079","717.1983","690.6776","26.52077"
"42","Lee County","Lee County, Alabama","1573510728","21530362","050","00","3","6","01081","01","081","615.8489","607.5359","8.31292"
"43","Limestone County","Limestone County, Alabama","1450228326","122381869","050","00","3","6","01083","01","083","607.1882","559.9363","47.25191"
"44","Lowndes County","Lowndes County, Alabama","1854199648","23723525","050","00","3","6","01085","01","085","725.0703","715.9105","9.159704"
"45","Macon County","Macon County, Alabama","1577005015","11194263","050","00","3","6","01087","01","087","613.2072","608.8851","4.322129"
"46","Madison County","Madison County, Alabama","2076116529","28771340","050","00","3","6","01089","01","089","812.7018","801.5931","11.10868"
"47","Marengo County","Marengo County, Alabama","2530112461","14994547","050","00","3","6","01091","01","091","982.6714","976.882","5.789427"
"48","Marion County","Marion County, Alabama","1922526826","3313145","050","00","3","6","01093","01","093","743.571","742.2918","1.279212"
