Geo_FIPS,fema_region_sovi_rank,us_sovi_rank
g01001,57.0,108.0
g01003,306.0,407.0
g01005,300.0,729.0
g01007,134.0,48.0
g01009,228.0,268.0
g01011,640.0,192.0
g01013,340.0,85.0
g01015,422.0,696.0
g01017,719.0,300.0
g01019,714.0,315.0
g01021,237.0,197.0
g01023,359.0,541.0
g01025,550.0,431.0
g01027,584.0,697.0
g01029,322.0,548.0
g01031,488.0,499.0
g01033,324.0,575.0
g01035,569.0,199.0
g01037,630.0,396.0
g01039,720.0,344.0
g01041,638.0,608.0
g01043,479.0,504.0
g01045,622.0,531.0
g01047,502.0,90.0
g01049,641.0,711.0
g01051,126.0,174.0
g01053,168.0,569.0
g01055,603.0,544.0
g01057,660.0,694.0
g01059,631.0,720.0
g01061,593.0,705.0
g01063,366.0,138.0
g01065,508.0,283.0
g01067,721.0,570.0
g01069,381.0,717.0
g01071,480.0,368.0
g01073,289.0,612.0
g01075,617.0,552.0
g01077,546.0,662.0
g01079,658.0,393.0
g01081,137.0,58.0
g01083,176.0,128.0
g01085,496.0,287.0
g01087,138.0,47.0
g01089,89.0,80.0
g01091,690.0,284.0
g01093,600.0,506.0
g01095,709.0,710.0
g01097,348.0,620.0
g01099,627.0,449.0
g01101,433.0,652.0
g01103,299.0,402.0
g01105,116.0,22.0
g01107,701.0,297.0
g01109,644.0,613.0
g01111,722.0,594.0
g01113,560.0,279.0
g01115,97.0,81.0
g01117,26.0,18.0
g01119,108.0,15.0
g01121,498.0,632.0
g01123,552.0,314.0
g01125,221.0,301.0
g01127,601.0,687.0
g01129,634.0,104.0
g01131,514.0,123.0
g01133,604.0,647.0
g02013,,
g02016,,
g02020,,
g02050,,
g02060,,
g02068,,
g02070,,
g02090,,
g02100,,
g02105,,
g02110,,
g02122,,
g02130,,
g02150,,
g02164,,
g02170,,
g02180,,
g02185,,
g02188,,
g02195,,
g02198,,
g02220,,
g02230,,
g02240,,
g02261,,
g02270,,
g02275,,
g02282,,
g02290,,
g04001,1.0,1.0
g04003,81.0,33.0
g04005,78.0,60.0
g04007,6.0,8.0
g04009,80.0,85.0
g04011,11.0,57.0
g04012,13.0,3.0
g04013,26.0,77.0
g04015,29.0,17.0
g04017,7.0,7.0
g04019,90.0,38.0
g04021,48.0,72.0
g04023,15.0,2.0
g04025,61.0,29.0
g04027,24.0,12.0
g05001,385.0,430.0
g05003,291.0,442.0
g05005,64.0,69.0
g05007,256.0,222.0
g05009,307.0,378.0
g05011,389.0,239.0
g05013,121.0,188.0
g05015,250.0,262.0
g05017,208.0,62.0
g05019,248.0,178.0
g05021,289.0,409.0
