Geo_FIPS,state_sovi_rank,fema_region_sovi_rank,us_sovi_rank
g06001,22.0,10.0,12.0
g06003,5.0,4.0,50.0
g06005,48.0,28.0,47.0
g06007,56.0,46.0,43.0
g06009,16.0,43.0,49.0
g06011,3.0,23.0,17.0
g06013,15.0,9.0,8.0
g06015,18.0,5.0,28.0
g06017,8.0,8.0,10.0
g06019,30.0,25.0,16.0
g06021,20.0,50.0,32.0
g06023,31.0,42.0,57.0
g06025,10.0,2.0,1.0
g06027,47.0,30.0,25.0
g06029,23.0,58.0,37.0
g06031,1.0,51.0,55.0
g06033,44.0,11.0,20.0
g06035,6.0,52.0,4.0
g06037,53.0,39.0,40.0
g06039,11.0,21.0,15.0
g06041,33.0,26.0,3.0
g06043,57.0,56.0,34.0
g06045,50.0,17.0,22.0
g06047,24.0,22.0,13.0
g06049,4.0,3.0,6.0
g06051,7.0,13.0,36.0
g06053,14.0,34.0,27.0
g06055,29.0,37.0,44.0
g06057,19.0,33.0,39.0
g06059,46.0,48.0,14.0
g06061,9.0,7.0,9.0
g06063,42.0,14.0,31.0
g06065,28.0,31.0,53.0
g06067,17.0,24.0,58.0
g06069,58.0,32.0,54.0
g06071,21.0,27.0,52.0
g06073,32.0,20.0,29.0
g06075,2.0,1.0,35.0
g06077,45.0,49.0,48.0
g06079,52.0,35.0,23.0
g06081,35.0,36.0,5.0
g06083,25.0,47.0,56.0
g06085,36.0,12.0,2.0
g06087,51.0,45.0,19.0
g06089,40.0,55.0,46.0
g06091,26.0,19.0,11.0
g06093,55.0,40.0,21.0
g06095,12.0,6.0,30.0
g06097,39.0,41.0,41.0
g06099,49.0,54.0,38.0
g06101,43.0,57.0,42.0
g06103,37.0,38.0,24.0
g06105,34.0,53.0,26.0
g06107,13.0,15.0,7.0
g06109,54.0,29.0,45.0
g06111,38.0,18.0,18.0
g06113,27.0,16.0,33.0
g06115,41.0,44.0,51.0
g13001,63.0,127.0,57.0
g13003,20.0,125.0,158.0
g13005,109.0,138.0,133.0
g13007,31.0,121.0,18.0
g13009,157.0,45.0,94.0
g13011,146.0,27.0,16.0
g13013,52.0,29.0,34.0
g13015,36.0,42.0,61.0
g13017,86.0,57.0,39.0
g13019,90.0,143.0,118.0
g13021,118.0,136.0,67.0
g13023,136.0,113.0,127.0
g13025,138.0,92.0,83.0
g13027,61.0,95.0,121.0
g13029,18.0,18.0,15.0
g13031,40.0,93.0,70.0
g13033,141.0,133.0,62.0
g13035,115.0,69.0,40.0
g13037,1.0,8.0,152.0
g13039,10.0,41.0,41.0
g13043,69.0,35.0,81.0
g13045,46.0,40.0,69.0
g13047,26.0,34.0,95.0
g13049,93.0,110.0,44.0
g13051,67.0,134.0,148.0
g13053,2.0,83.0,1.0
g13055,110.0,155.0,113.0
g13057,24.0,14.0,12.0
g13059,159.0,94.0,141.0
g13061,4.0,2.0,2.0
g13063,116.0,131.0,131.0
g13065,131.0,58.0,36.0
g13067,132.0,31.0,17.0
g13069,117.0,156.0,84.0
g13071,42.0,122.0,134.0
g13073,32.0,15.0,11.0
g13075,150.0,126.0,147.0
g13077,38.0,19.0,19.0
g13079,35.0,74.0,58.0
g13081,152.0,98.0,48.0
g13083,60.0,54.0,68.0
g13085,53.0,25.0,30.0
g13087,145.0,67.0,63.0
g13089,133.0,145.0,97.0
g13091,101.0,100.0,96.0
g13093,27.0,105.0,91.0
g13095,85.0,116.0,38.0
g13097,21.0,20.0,25.0
g13099,77.0,99.0,46.0
g13101,9.0,26.0,77.0
g13103,8.0,13.0,9.0
g13105,149.0,91.0,47.0
g13107,108.0,75.0,98.0
g13109,94.0,141.0,145.0
g13111,127.0,96.0,79.0
g13113,51.0,4.0,7.0
g13115,148.0,139.0,111.0
g13117,66.0,3.0,3.0
g13119,120.0,140.0,157.0
g13121,96.0,55.0,21.0
g13123,71.0,117.0,150.0
g13125,48.0,78.0,142.0
g13127,113.0,152.0,102.0
g13129,154.0,104.0,109.0
g13131,130.0,144.0,149.0
g13133,47.0,56.0,73.0
g13135,126.0,70.0,24.0
g13137,147.0,109.0,156.0
g13139,88.0,153.0,110.0
g13141,15.0,9.0,32.0
g13143,104.0,89.0,136.0
g13145,29.0,5.0,6.0
g13147,106.0,123.0,117.0
g13149,112.0,73.0,90.0
g13151,16.0,17.0,23.0
g13153,41.0,33.0,56.0
g13155,95.0,154.0,122.0
g13157,65.0,28.0,35.0
g13159,50.0,63.0,92.0
g13161,124.0,107.0,75.0
g13163,102.0,65.0,45.0
g13165,73.0,112.0,51.0
g13167,39.0,87.0,78.0
g13169,44.0,21.0,54.0
g13171,76.0,66.0,129.0
g13173,121.0,146.0,146.0
g13175,153.0,147.0,114.0
g13177,22.0,6.0,4.0
g13179,17.0,60.0,59.0
g13181,123.0,48.0,49.0
g13183,19.0,150.0,130.0
g13185,37.0,79.0,126.0
g13187,28.0,49.0,65.0
g13189,125.0,142.0,138.0
g13191,72.0,129.0,76.0
g13193,30.0,71.0,140.0
g13195,81.0,59.0,103.0
g13197,33.0,76.0,155.0
g13199,114.0,114.0,123.0
g13201,56.0,102.0,101.0
g13205,59.0,124.0,153.0
g13207,82.0,37.0,50.0
g13209,87.0,101.0,53.0
g13211,100.0,43.0,116.0
g13213,144.0,80.0,66.0
g13215,75.0,128.0,93.0
g13217,11.0,24.0,88.0
g13219,57.0,7.0,8.0
g13221,128.0,32.0,33.0
g13223,7.0,10.0,14.0
g13225,158.0,86.0,105.0
g13227,74.0,46.0,60.0
g13229,137.0,149.0,151.0
g13231,12.0,16.0,29.0
g13233,139.0,148.0,139.0
g13235,105.0,52.0,13.0
g13237,107.0,151.0,144.0
g13239,135.0,85.0,89.0
g13241,49.0,39.0,55.0
g13243,13.0,53.0,80.0
g13245,62.0,108.0,82.0
g13247,45.0,38.0,107.0
g13249,156.0,44.0,31.0
g13251,143.0,137.0,120.0
g13253,83.0,84.0,26.0
g13255,55.0,132.0,124.0
g13257,111.0,158.0,86.0
g13259,3.0,11.0,137.0
g13261,99.0,47.0,42.0
g13263,151.0,157.0,85.0
g13265,25.0,22.0,5.0
g13267,23.0,62.0,43.0
g13269,84.0,88.0,100.0
g13271,6.0,1.0,87.0
g13273,64.0,51.0,22.0
g13275,129.0,118.0,104.0
g13277,122.0,159.0,135.0
g13279,68.0,64.0,71.0
g13281,89.0,36.0,20.0
g13283,91.0,97.0,154.0
g13285,92.0,111.0,128.0
g13287,103.0,82.0,72.0
g13289,80.0,90.0,108.0
g13291,70.0,61.0,27.0
g13293,134.0,106.0,52.0
g13295,54.0,72.0,125.0
g13297,34.0,30.0,64.0
g13299,98.0,77.0,112.0
g13301,43.0,68.0,37.0
g13303,78.0,81.0,132.0
g13305,155.0,135.0,74.0
g13307,79.0,119.0,115.0
g13309,5.0,12.0,10.0
g13311,97.0,115.0,99.0
g13313,58.0,103.0,159.0
g13315,14.0,23.0,106.0
g13317,119.0,50.0,28.0
g13319,142.0,130.0,119.0
g13321,140.0,120.0,143.0
g16001,38.0,12.0,7.0
g16003,39.0,36.0,28.0
g16005,33.0,32.0,18.0
g16007,23.0,15.0,44.0
g16009,4.0,30.0,37.0
g16011,29.0,40.0,32.0
g16013,1.0,7.0,13.0
g16015,22.0,4.0,4.0
g16017,41.0,31.0,27.0
g16019,32.0,22.0,15.0
g16021,44.0,34.0,25.0
g16023,43.0,44.0,26.0
g16025,26.0,10.0,6.0
g16027,11.0,26.0,43.0
g16029,10.0,6.0,5.0
g16031,30.0,42.0,24.0
g16033,25.0,38.0,16.0
g16035,31.0,29.0,36.0
g16037,12.0,9.0,12.0
g16039,13.0,20.0,17.0
g16041,3.0,2.0,2.0
g16043,5.0,3.0,21.0
g16045,15.0,14.0,30.0
g16047,35.0,41.0,34.0
g16049,21.0,24.0,22.0
g16051,7.0,8.0,3.0
g16053,14.0,27.0,33.0
g16055,40.0,35.0,20.0
g16057,36.0,23.0,8.0
g16059,28.0,43.0,31.0
g16061,19.0,16.0,11.0
g16063,37.0,33.0,29.0
g16065,27.0,17.0,10.0
g16067,34.0,39.0,38.0
g16069,16.0,28.0,39.0
g16071,18.0,11.0,9.0
g16073,8.0,21.0,40.0
g16075,17.0,19.0,35.0
g16077,42.0,25.0,14.0
g16079,20.0,18.0,23.0
g16081,6.0,1.0,1.0
g16083,24.0,37.0,41.0
g16085,2.0,5.0,42.0
g16087,9.0,13.0,19.0
g17001,58.0,71.0,66.0
g17003,3.0,3.0,7.0
g17005,83.0,91.0,85.0
g17007,15.0,102.0,11.0
g17009,19.0,1.0,1.0
g17011,99.0,44.0,84.0
g17013,54.0,65.0,94.0
g17015,70.0,34.0,32.0
g17017,92.0,14.0,61.0
g17019,39.0,69.0,23.0
g17021,95.0,97.0,89.0
g17023,101.0,94.0,81.0
g17025,23.0,79.0,93.0
