,QAGEDEP_ACS,QFEMALE_ACS,QSERV_ALT,QHISP_ACS,QFEMLBR,QNATAM_ACS,QESL_ALT,QSSBEN,QNOAUTO_ALT,QMOHO,QPOVTY,QNRRES_ACS,QFAM,QUNOCCHU_ACS,PERCAP_ALT,BLACK_ACS,MDGRENT_ALT,QRICH200K,MEDAGE_ACS,QFHH_ACS,PRENTER_ACS,POPDENS,QCVLUN,MHSEVAL_ALT,QED12LES_ALT,QEXTRCT_ALT,QASIAN_ACS,QPUNIT_ACS
QAGEDEP_ACS,,-0.4493284416606464,0.7452264592313437,0.28112136641701024,0.000957532691350127,0.6130771938914201,0.2994267564406773,0.26336759873735077,0.5837828186513594,-0.06756656760790757,0.33377894094130184,0.30610909076720166,0.26099332523125335,0.6066729542500524,0.20219857608185748,-0.17859422146274234,0.18114504962609945,0.18217898100552413,0.16752657871116408,0.05063464630230862,0.08643836699153287,0.2887157832801269,0.14134481382468803,0.043453585631345326,0.14336199870921643,0.2974909988393184,0.07899440439993859,-0.07737783401261011
QFEMALE_ACS,0.40095740365722826,,0.7486411787641964,0.3587779011313708,0.15967575226031985,0.6187453570782484,0.35748474613674175,0.2801518517358293,0.5452308589466968,-0.13777178299150436,0.3587759146806395,0.2634026641204589,0.3015369069611145,0.5220906844340518,0.22285414311180607,-0.17190521798374286,0.14904900200602536,0.16769868634130436,0.14370919242088048,0.13655006861159247,0.13050689272522253,0.24030158980141658,0.08505772771992809,0.036703722160076044,0.1436299138602913,0.21164671824245948,0.0610010418415583,-0.006427854698998731
QSERV_ALT,0.7603773679610425,0.8152295725781104,,0.4710531413123121,0.32015570685042916,0.543391111734224,0.4566918592854373,0.41051375434125803,0.5265570741758203,-0.25058653504771006,0.34322817891696716,0.2687269019359233,0.24861008119218456,0.24276251650886024,0.2656280023086764,-0.2071654588450444,0.26017051115622836,0.14024951083615605,0.2295595606883276,0.224147285024087,0.1057192885731364,0.3105207338023927,-0.12713970256449403,0.16637117038438867,0.2251418330151638,0.2539215164951113,-0.07623693823508393,0.09671481569199052
QHISP_ACS,0.2615895601567726,-0.18677767250743504,0.7274797151946897,,0.43312198427505094,0.7279312104445477,-0.19252105961455435,0.2539131615473036,0.5794543342653967,-0.13269375868818312,0.3066015745902063,0.25237098725987483,0.39498847373392365,0.4906473246163028,0.1589459524542684,-0.010641515711883244,0.16633445131063543,0.22463986341373204,0.18361912072753486,0.16130481780024553,0.08822892350303387,0.1606916633576963,0.11149534997526905,0.04209372034214705,-0.13295328031589404,-0.055290637653378036,-0.053421858446222145,-0.21084253678586856
QFEMLBR,0.3502318791930347,-0.4870546658513033,0.6458729633358276,0.3269570647689916,,0.4052338610593064,0.3466479073069708,0.24180711436755986,0.5258211626139926,-0.11984591973357174,0.3044838841391837,0.4899216675150282,0.22855621047359365,0.42896233413323037,0.20421438840807474,-0.15868507329921885,0.27932564363012347,0.21610053900798598,0.15670411584660077,0.003010407184801958,0.20162834741815497,0.3165785138763115,0.07395362068437818,0.14700039769589662,0.1824552448042034,0.4112207708078782,0.0943492527835022,-0.1843687794242992
QNATAM_ACS,0.7029527445721172,0.7019847066937084,0.4472249286930029,0.5964250107425257,0.39859192346326816,,0.5326320098673397,0.43912268386425696,0.26139124790571344,-0.21682800089042864,0.3281745816097093,0.36643389592465503,0.3452719830951558,0.0969496387409284,0.197133246205207,0.01426622068880301,0.15414826343767657,0.09311491396006841,0.26650203855333016,0.2698221782445635,0.2216428621575736,0.23711196317978356,0.0016666882507613001,0.10075501622162292,0.3207029559867395,0.08887481656453797,0.028265225266768668,-0.10832756422666963
QESL_ALT,0.7900672177908614,0.7515338242174526,0.6824392664703568,0.7139168002536996,0.3593085667023498,0.4509786502361012,,0.4108698249913699,0.4155738101349986,-0.3443249856906007,0.38108053910840145,0.30548330765553794,0.24396611929322157,0.2862729146545749,0.2965344965604372,-0.3385327819915127,0.2236919437628311,0.18610002665960373,0.18053973710470833,0.1749163207640696,0.225429699264167,0.27975098929627484,-0.139090763815311,0.1253258488403899,0.2141070696776443,0.26945870057876264,-0.07748479566609238,0.06495937554802783
QSSBEN,0.7937515314736878,0.8373646811330331,0.46761877758618775,0.5182466323287602,0.4204347614762556,0.7016558482594017,0.47243459051018505,,0.5415252355223931,-0.17557353927448419,0.3826982114894768,0.10636912792203326,0.3107424247646996,0.5341747290083088,0.2584865015975562,-0.1903077117933755,0.15468830190947183,0.10394704799955587,0.2977592219670975,0.27247812100935825,-0.04611402583104532,0.2692703233473325,-0.06279991057042028,0.054128280700589185,0.20807767702826718,0.2068693161608781,-0.1124719211320149,0.17245982486428305
QNOAUTO_ALT,0.7628958480598584,0.7305209309122775,0.5236157546254261,0.5372842768858612,0.41666721084079467,0.5156844746126257,0.47298346413785186,0.3887970883595141,,-0.32209117195509274,0.3571852364119197,0.35263757656658834,0.294229901027833,0.25668488930513017,0.2723927300481566,-0.23394516587309042,0.256306591474383,0.18681181787799336,0.20411598444607582,0.21873695441188684,0.18237304513141922,0.20805600919417966,-0.1468076184145068,0.1662764404628767,0.163222425104142,0.2209131107331425,-0.0658845782585453,0.027938447716503362
QMOHO,0.7636161249398454,0.7701592543957351,0.6928774287991605,0.5612404066968179,0.5246409573809057,0.5136585866967184,0.48284596116733125,0.3860150914883485,0.4071523620826604,,0.34427408254410496,0.35357473159048014,0.24973606404994025,0.23263201896651664,0.25990500497940483,-0.35724164085507026,0.22742378170962013,0.21797727413100543,0.2023647202798945,0.14619251478896234,0.23846164393856387,0.23348589365842623,-0.19020238941182,0.11147325214765903,0.11100881076704155,0.11091113691250512,-0.047979908407805125,-0.0364228188014199
