,QAGEDEP_ACS,QFEMALE_ACS,QSERV_ALT,QHISP_ACS,QFEMLBR,QNATAM_ACS,QESL_ALT,QSSBEN,QNOAUTO_ALT,QMOHO,QPOVTY,QNRRES_ACS,QFAM,QUNOCCHU_ACS,PERCAP_ALT,BLACK_ACS,MDGRENT_ALT,QRICH200K,MEDAGE_ACS,QFHH_ACS,PRENTER_ACS,POPDENS,QCVLUN,MHSEVAL_ALT,QED12LES_ALT,QEXTRCT_ALT,QASIAN_ACS,QPUNIT_ACS
QAGEDEP_ACS,,5.0,2.0,8.0,8.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0
QFEMALE_ACS,5.0,,1.0,14.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
QSERV_ALT,1.0,1.0,,2.0,1.0,5.0,4.0,8.0,4.0,3.0,3.0,7.0,6.0,7.0,7.0,13.0,3.0,7.0,3.0,3.0,7.0,3.0,3.0,7.0,3.0,8.0,7.0,3.0
QHISP_ACS,11.0,6.0,5.0,,10.0,3.0,3.0,6.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,6.0,4.0,5.0,5.0,4.0
QFEMLBR,27.0,17.0,9.0,5.0,,7.0,9.0,9.0,7.0,5.0,5.0,8.0,8.0,9.0,8.0,12.0,5.0,9.0,5.0,5.0,8.0,8.0,5.0,9.0,5.0,10.0,9.0,5.0
QNATAM_ACS,2.0,2.0,3.0,1.0,7.0,,5.0,3.0,5.0,6.0,8.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,6.0,8.0,3.0,5.0,6.0,4.0,6.0,2.0,3.0,7.0
QESL_ALT,8.0,8.0,6.0,13.0,9.0,4.0,,7.0,6.0,7.0,6.0,6.0,7.0,8.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,5.0,7.0,6.0,6.0,6.0
QSSBEN,12.0,10.0,7.0,9.0,14.0,6.0,7.0,,8.0,9.0,9.0,9.0,9.0,6.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,8.0,7.0,8.0,9.0
QNOAUTO_ALT,4.0,3.0,4.0,3.0,2.0,14.0,6.0,4.0,,8.0,7.0,4.0,4.0,4.0,4.0,4.0,15.0,4.0,10.0,7.0,4.0,7.0,9.0,3.0,9.0,4.0,4.0,8.0
QMOHO,24.0,21.0,15.0,21.0,24.0,17.0,10.0,19.0,11.0,,12.0,14.0,18.0,19.0,15.0,20.0,9.0,13.0,12.0,11.0,16.0,10.0,10.0,12.0,10.0,20.0,17.0,11.0
QPOVTY,6.0,7.0,8.0,7.0,12.0,10.0,8.0,10.0,9.0,12.0,,10.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,9.0,12.0,13.0,13.0,11.0,11.0,10.0,10.0
QNRRES_ACS,7.0,11.0,11.0,10.0,3.0,8.0,12.0,23.0,10.0,11.0,11.0,,23.0,21.0,22.0,21.0,12.0,19.0,13.0,12.0,22.0,11.0,11.0,16.0,12.0,23.0,23.0,13.0
QFAM,13.0,9.0,16.0,6.0,15.0,9.0,17.0,11.0,12.0,14.0,10.0,12.0,,16.0,12.0,11.0,16.0,14.0,16.0,13.0,12.0,13.0,15.0,14.0,13.0,16.0,12.0,12.0
QUNOCCHU_ACS,3.0,4.0,17.0,4.0,5.0,22.0,14.0,5.0,14.0,17.0,15.0,11.0,11.0,,11.0,7.0,17.0,12.0,9.0,15.0,11.0,14.0,19.0,11.0,15.0,9.0,11.0,14.0
PERCAP_ALT,14.0,13.0,12.0,19.0,17.0,18.0,13.0,15.0,13.0,13.0,13.0,15.0,13.0,12.0,,18.0,10.0,16.0,15.0,14.0,15.0,16.0,14.0,22.0,14.0,12.0,13.0,15.0
