,QAGEDEP_ACS,QFEMALE_ACS,QSERV_ALT,QHISP_ACS,QFEMLBR,QNATAM_ACS,QESL_ALT,QSSBEN,QNOAUTO_ALT,QMOHO,QPOVTY,QNRRES_ACS,QFAM,QUNOCCHU_ACS,PERCAP_ALT,BLACK_ACS,MDGRENT_ALT,QRICH200K,MEDAGE_ACS,QFHH_ACS,PRENTER_ACS,POPDENS,QCVLUN,MHSEVAL_ALT,QED12LES_ALT,QEXTRCT_ALT,QASIAN_ACS,QPUNIT_ACS
QAGEDEP_ACS,,0.4009574036572286,0.7603773679610426,0.2615895601567726,0.3502318791930348,0.7029527445721167,0.7900672177908616,0.7937515314736885,0.7628958480598576,0.7636161249398452,0.7596520390873429,0.7245285271216853,0.695302768496012,0.7700853319674872,0.7328083279008505,0.7238635902096537,0.7659935043201598,0.7659612950324669,0.8018439433341555,0.7457294972771057,0.6987692471427289,0.7878295138249163,0.7657241687751856,0.7989622918682884,0.7622095848322159,0.7089843109855185,0.7219184008833943,0.7502096068849373
QFEMALE_ACS,-0.4493284416606468,,0.8152295725781112,-0.18677767250743488,-0.4870546658513035,0.7019847066937057,0.7515338242174538,0.8373646811330325,0.730520930912277,0.770159254395735,0.7290784492985821,0.7777113767568264,0.8100449089115677,0.7901546364810673,0.7934007536533748,0.8101296570695999,0.7736601956651545,0.785698338351845,0.7429670312511472,0.7329543909601921,0.8444625831592952,0.747666505119203,0.7473456428164071,0.7722007100416668,0.7420387989487652,0.7855340042869849,0.8026668002108159,0.727423002211254
QSERV_ALT,0.7452264592313436,0.7486411787641977,,0.7274797151946895,0.6458729633358278,0.44722492869300556,0.6824392664703562,0.4676187775861885,0.5236157546254259,0.6928774287991607,0.6315143663254773,0.4733512259320072,0.47990170953179256,0.49970344416601176,0.4546761467917818,0.29815442225052463,0.6765622403651281,0.45270006885562714,0.6692392590063805,0.6319173718215992,0.45274443953408905,0.6142305290140734,0.6660317857534952,0.502114976645274,0.6926681848286591,0.41236365678451564,0.43983602212945516,0.643479574132488
QHISP_ACS,0.28112136641701047,0.3587779011313708,0.4710531413123123,,0.32695706476899217,0.5964250107425261,0.7139168002536992,0.5182466323287608,0.5372842768858606,0.561240406696818,0.5515386927293824,0.5061942614295535,0.4923629224893137,0.5068588048008069,0.5208288250909765,0.48070118742162743,0.5782543346512378,0.5255370064749811,0.5580591173911604,0.5435696218578043,0.49962481496222105,0.5415072976778905,0.5473364978817223,0.5283275001642147,0.5805088636453005,0.5052394773598465,0.49880932894691643,0.5605461170953229
QFEMLBR,0.0009575326913495649,0.15967575226032069,0.3201557068504293,0.4331219842750506,,0.3985919234632682,0.35930856670235045,0.4204347614762557,0.4166672108407946,0.5246409573809057,0.5075408862806742,0.4256947248645033,0.4607603975269304,0.4387077046304337,0.4096132648290057,0.34648894772925437,0.5307573596328318,0.3883700780361615,0.5077062134674747,0.5020117941930329,0.45011425925335435,0.4905690042597078,0.5458980175676302,0.4339588421631405,0.5387705835861444,0.3760389826673954,0.41374358998517513,0.48393144494890744
QNATAM_ACS,0.6130771938914206,0.6187453570782491,0.5433911117342245,0.7279312104445476,0.4052338610593071,,0.4509786502361014,0.7016558482594021,0.5156844746126259,0.5136585866967186,0.4673674697970801,0.6683269191769917,0.674572426043955,0.7094733422431255,0.711181256208078,0.6678518941100067,0.5159946875611645,0.6715131822564789,0.49403560475424535,0.42987401198382236,0.6628487596765853,0.5024795115316341,0.5151942399832469,0.5742780283394545,0.49582871981363486,0.7164651711451906,0.6887104479833713,0.4568626768315891
QESL_ALT,0.29942675644067746,0.35748474613674164,0.4566918592854374,-0.19252105961455407,0.3466479073069717,0.5326320098673399,,0.47243459051018566,0.47298346413785114,0.48284596116733147,0.4855192877769938,0.47579683656670246,0.46501695986325775,0.47724766618601433,0.4817134037819148,0.4656262788610605,0.4545104842451566,0.5125064366886463,0.46674064182688346,0.4749839060643156,0.47024218656982314,0.49470304136338056,0.47440694532944694,0.5402351943148163,0.49544419522649047,0.48515594239111254,0.4835705624734548,0.4762024451813833
QSSBEN,0.2633675987373507,0.2801518517358292,0.41051375434125814,0.25391316154730376,0.2418071143675597,0.4391226838642565,0.4108698249913699,,0.38879708835951354,0.3860150914883481,0.43502774680140244,0.4025782247858516,0.4284089676126768,0.5001820821410563,0.40544445270304685,0.37943872173354176,0.3971394152297269,0.4117294297490166,0.4633876820704431,0.4259658930409108,0.37885327295944593,0.4212317712298616,0.43440099350805306,0.43134397189970386,0.40567470736966854,0.41823394973608136,0.41477036470035406,0.3925456458490759
QNOAUTO_ALT,0.5837828186513594,0.5452308589466972,0.52655707417582,0.5794543342653968,0.525821162613993,0.2613912479057142,0.4155738101349985,0.5415252355223936,,0.4071523620826605,0.47889812651275276,0.5382193678082056,0.5510092037764265,0.541425997849605,0.5512439408658177,0.5220911676081553,0.30215960638633876,0.6039417188785889,0.3747232455457722,0.440877363126894,0.5492594277532052,0.49160096547838056,0.40514443711698556,0.6479500822508489,0.3949054756676049,0.5578785694869909,0.5421494073988247,0.42187180265796864
QMOHO,-0.06756656760790779,-0.13777178299150544,-0.25058653504771,-0.13269375868818298,-0.11984591973357196,-0.21682800089042908,-0.3443249856906006,-0.17557353927448383,-0.32209117195509257,,-0.31428204680493044,-0.2636282431635976,-0.1846304453772692,-0.19124022710696703,-0.23699567838471983,-0.1986956694936603,-0.3729617639103806,-0.2914313765513697,-0.3202030528291395,-0.31766837044632873,-0.2624751884308897,-0.38097024983912287,-0.40281218518127204,-0.3472755028052231,-0.3814139342129459,-0.20015111662438861,-0.2291645488786282,-0.3605167233710672
QPOVTY,0.33377894094130167,0.3587759146806394,0.3432281789169672,0.30660157459020637,0.30448388413918387,0.3281745816097098,0.3810805391084017,0.382698211489477,0.35718523641191957,0.3442740825441051,,0.37287761798967806,0.40826342695902385,0.3627323139608124,0.3964590560502068,0.353707534452249,0.34873949650288905,0.36441764416812084,0.34059498168557734,0.3793025121758977,0.3837368649402426,0.3534155573532697,0.3424157602907471,0.3310747657789619,0.3521933324813012,0.3689333669812761,0.37629389489572396,0.3616646608475075
QNRRES_ACS,0.30610909076720205,0.26340266412045976,0.2687269019359228,0.25237098725987495,0.4899216675150282,0.3664338959246559,0.30548330765553755,0.10636912792203318,0.3526375765665883,0.35357473159048025,0.3366988226704608,,0.08505631845136334,0.11889159472593888,0.18355809101899206,0.15428656229577128,0.3379227670427296,0.22488830212206928,0.2859691269753642,0.31656362811885763,0.13991875769308587,0.35564932965623564,0.3630470745947403,0.27419404147853266,0.3441552078443594,0.09907048386493911,0.1389858300983523,0.30194760687198596
QFAM,0.26099332523125296,0.3015369069611147,0.24861008119218442,0.39498847373392365,0.2285562104735936,0.3452719830951565,0.24396611929322168,0.3107424247646999,0.29422990102783303,0.2497360640499401,0.35982327143299253,0.30386250071661436,,0.24213442965612414,0.3130331718434667,0.3483973150798657,0.2711175551991243,0.2741484407931414,0.26905623732559214,0.311516272652148,0.29447257812840544,0.3079803159584757,0.22621763449518073,0.3104600064987043,0.30305845332899234,0.253826224496164,0.27779190128562536,0.3116471374426008
QUNOCCHU_ACS,0.6066729542500526,0.5220906844340518,0.24276251650886055,0.4906473246163028,0.4289623341332307,0.0969496387409294,0.2862729146545746,0.5341747290083101,0.25668488930512995,0.23263201896651653,0.2750090127552835,0.35042150432160035,0.3907803426530557,,0.3531182933011669,0.40441911669506525,0.24637640236648703,0.35027908947659847,0.37877442993172145,0.26332189832877895,0.3048777524992642,0.28190397728398187,0.20126748693938148,0.36999650905832526,0.2750872080659273,0.38927411686942726,0.36414009884736437,0.276480526174668
PERCAP_ALT,0.20219857608185743,0.22285414311180593,0.26562800230867656,0.15894595245426854,0.20421438840807468,0.1971332462052073,0.29653449656043723,0.25848650159755615,0.2723927300481568,0.2599050049794049,0.30175862023774747,0.26219616910516197,0.2850032971357931,0.2752057035921941,,0.21444397661980896,0.357020937889615,0.24542006562782864,0.274753263012611,0.2970481035754704,0.27686056528019276,0.24586107145911648,0.2834684173718543,0.14088814794890042,0.287845835434015,0.28021000459275947,0.2668611327608361,0.27416933423667617
BLACK_ACS,-0.17859422146274295,-0.1719052179837434,-0.20716545884504467,-0.010641515711883272,-0.15868507329921921,0.014266220688802941,-0.3385327819915123,-0.1903077117933757,-0.2339451658730904,-0.35724164085507026,-0.17241855825276642,-0.21263681881962868,-0.171681030306846,-0.30180618279544097,-0.21150100941135097,,-0.3206781974100046,-0.25606016880142535,-0.2820202747723275,-0.22429873674829168,-0.22611278917313568,-0.2504954320655661,-0.35969307221601365,-0.20020996375673297,-0.2735110101929254,-0.2612675341095307,-0.23359528827943188,-0.2638167007263614
