,spearman_r_st_fema,pvalue_st_fema,spearman_r_st_us,pvalue_st_us
g23g33g25,0.93527204502814276,9.898190428751282e-19,0.74559099437148235,3.3917017659038849e-08
g36,0.60690992420236212,1.7027050958168214e-07,0.78771624990556777,3.0687286147974929e-14
g51,0.89618823177346363,1.9956798181488273e-48,0.67534757291238057,3.5651291451585722e-19
g13,0.7969309768330548,3.3967669843353122e-36,0.50332875567231905,1.3610972716062094e-11
g17,0.33649230142888642,0.00054433636420034488,0.50441897416469239,6.4645061592231981e-08
g48,0.68018717492910452,7.5537540023860253e-36,0.61510507536244075,7.8615422878755643e-28
g29,0.81675215024066916,9.3839975830035527e-29,0.90269075988321634,3.4123726722251238e-43
g46,0.86648575305291731,5.5835105062986437e-21,0.60542740841248321,7.2331255951818612e-08
g06,0.69097788304777152,1.9326813268593767e-09,0.5313297855978345,1.7758373415323516e-05
g16,0.88019732205778711,3.5187914116871343e-15,0.66131078224101481,1.0249557506703056e-06
